timestamp,session_id,level_number,value
1770036060.301,196,1,"(511.0, 568.0)"
1770036060.312,196,1,"(511.0, 568.0)"
1770036060.322,196,1,"(511.0, 568.0)"
1770036060.334,196,1,"(511.0, 568.0)"
1770036060.345,196,1,"(511.0, 568.0)"
1770036060.356,196,1,"(511.0, 568.0)"
1770036060.366,196,1,"(511.0, 568.0)"
1770036060.376,196,1,"(511.0, 568.0)"
1770036060.387,196,1,"(511.0, 568.0)"
1770036060.398,196,1,"(511.0, 568.0)"
1770036060.408,196,1,"(511.0, 568.0)"
1770036060.419,196,1,"(511.0, 568.0)"
1770036060.43,196,1,"(511.0, 568.0)"
1770036060.441,196,1,"(511.0, 568.0)"
1770036060.452,196,1,"(511.0, 568.0)"
1770036060.463,196,1,"(511.0, 568.0)"
1770036060.473,196,1,"(511.0, 568.0)"
1770036060.483,196,1,"(511.0, 568.0)"
1770036060.494,196,1,"(511.0, 568.0)"
1770036060.505,196,1,"(511.0, 568.0)"
1770036060.516,196,1,"(511.0, 568.0)"
1770036060.526,196,1,"(511.0, 568.0)"
1770036060.539,196,1,"(511.0, 568.0)"
1770036060.55,196,1,"(511.0, 568.0)"
1770036060.56,196,1,"(511.0, 568.0)"
1770036060.572,196,1,"(511.0, 568.0)"
1770036060.583,196,1,"(511.0, 568.0)"
1770036060.594,196,1,"(511.0, 568.0)"
1770036060.605,196,1,"(511.0, 568.0)"
1770036060.615,196,1,"(511.0, 568.0)"
1770036060.626,196,1,"(511.0, 568.0)"
1770036060.636,196,1,"(511.0, 568.0)"
1770036060.646,196,1,"(511.0, 568.0)"
1770036060.657,196,1,"(511.0, 568.0)"
1770036060.668,196,1,"(511.0, 568.0)"
1770036060.679,196,1,"(511.0, 568.0)"
1770036060.689,196,1,"(511.0, 568.0)"
1770036060.7,196,1,"(511.0, 568.0)"
1770036060.71,196,1,"(511.0, 568.0)"
1770036060.721,196,1,"(511.0, 568.0)"
1770036060.732,196,1,"(511.0, 568.0)"
1770036060.743,196,1,"(511.0, 568.0)"
